136.75036281179138,8,"{'transitiontime': 1, 'hue': 91, 'bri': 185, 'sat': 222}",beat,Unmodified
136.78809869375908,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 83, 'hue': 3546, 'bri': 199, 'sat': 255}",arc,Safe
137.2989840348331,11,"{'transitiontime': 37, 'hue': 32407, 'bri': 229, 'sat': 255}",low,Safe
138.05068027210882,7,"{'transitiontime': 1, 'hue': 90, 'bri': 0, 'sat': 245}",beat,Unmodified
140.40928882438317,11,"{'transitiontime': 34, 'hue': 27007, 'bri': 0, 'sat': 255}",high,Unmodified
141.03444444444443,15,"{'transitiontime': 1, 'hue': 89, 'bri': 182, 'sat': 158}",beat,Unmodified
141.89358276643989,7,"{'transitiontime': 1, 'hue': 93, 'bri': 185, 'sat': 165}",beat,Unmodified
142.76433106575962,15,"{'transitiontime': 1, 'hue': 116, 'bri': 206, 'sat': 136}",beat,Unmodified
143.19390022675736,7,"{'transitiontime': 1, 'hue': 91, 'bri': 0, 'sat': 153}",beat,Unmodified
143.63507936507935,15,"{'transitiontime': 1, 'hue': 96, 'bri': 188, 'sat': 247}",beat,Unmodified
144.75181422351233,10,"{'transitiontime': 27, 'hue': 32408, 'bri': 229, 'sat': 255}",low,Safe
145.1901306240929,"[7, 8, 11, 12, 14, 15]","{'transitiontime': 60, 'hue': 14540, 'bri': 175, 'sat': 255}",arc,Safe
147.06240928882437,10,"{'transitiontime': 37, 'hue': 27007, 'bri': 0, 'sat': 255}",high,Unmodified
147.47798185941042,8,"{'transitiontime': 1, 'hue': 118, 'bri': 33, 'sat': 242}",beat,Unmodified
147.89594104308389,14,"{'transitiontime': 1, 'hue': 141, 'bri': 237, 'sat': 166}",beat,Unmodified
148.75507936507935,10,"{'transitiontime': 1, 'hue': 120, 'bri': 216, 'sat': 187}",beat,Unmodified
149.19625850340134,14,"{'transitiontime': 1, 'hue': 86, 'bri': 0, 'sat': 185}",beat,Unmodified
150.03217687074829,10,"{'transitiontime': 1, 'hue': 98, 'bri': 16, 'sat': 248}",beat,Unmodified
150.46174603174603,10,"{'transitiontime': 1, 'hue': 86, 'bri': 179, 'sat': 139}",beat,Unmodified
151.24528301886792,"[7, 8, 10, 11, 12, 14, 15]","{'transitiontime': 59, 'hue': 9037, 'bri': 192, 'sat': 255}",arc,Safe
151.74600870827285,10,"{'transitiontime': 23, 'hue': 32409, 'bri': 229, 'sat': 255}",low,Safe
152.62120181405894,7,"{'transitiontime': 1, 'hue': 94, 'bri': 8, 'sat': 144}",beat,Unmodified
153.46873015873015,15,"{'transitiontime': 1, 'hue': 91, 'bri': 5, 'sat': 180}",beat,Unmodified
153.69521044992743,10,"{'transitiontime': 16, 'hue': 27008, 'bri': 0, 'sat': 255}",high,Unmodified
153.89829931972787,7,"{'transitiontime': 1, 'hue': 89, 'bri': 183, 'sat': 179}",beat,Unmodified
154.32786848072561,7,"{'transitiontime': 1, 'hue': 85, 'bri': 0, 'sat': 213}",beat,Unmodified
154.74582766439909,8,"{'transitiontime': 1, 'hue': 99, 'bri': 190, 'sat': 136}",beat,Unmodified
155.80696661828736,14,"{'transitiontime': 27, 'hue': 32410, 'bri': 229, 'sat': 255}",low,Safe
156.88206349206348,7,"{'transitiontime': 1, 'hue': 90, 'bri': 0, 'sat': 174}",beat,Unmodified
157.2409288824383,"[7, 8, 10, 11, 12, 15]","{'transitiontime': 14, 'hue': 9099, 'bri': 192, 'sat': 255}",arc,Safe
158.17077097505668,8,"{'transitiontime': 1, 'hue': 87, 'bri': 177, 'sat': 182}",beat,Safe
158.61248185776486,14,"{'transitiontime': 31, 'hue': 32410, 'bri': 229, 'sat': 255}",low,Unmodified
158.75326560232222,"[7, 8, 10, 11, 12, 15]","{'transitiontime': 7, 'hue': 9083, 'bri': 193, 'sat': 255}",arc,Safe
159.53701015965166,"[7, 8, 10, 11, 12, 15]","{'transitiontime': 46, 'hue': 10771, 'bri': 191, 'sat': 255}",arc,Unmodified
160.75979591836733,12,"{'transitiontime': 1, 'hue': 109, 'bri': 200, 'sat': 199}",beat,Unmodified
161.17775510204081,7,"{'transitiontime': 1, 'hue': 91, 'bri': 1, 'sat': 175}",beat,Safe
161.59571428571428,12,"{'transitiontime': 1, 'hue': 115, 'bri': 208, 'sat': 234}",beat,Unmodified
162.025283446712,8,"{'transitiontime': 1, 'hue': 88, 'bri': 0, 'sat': 176}",beat,Unmodified
162.70972423802613,14,"{'transitiontime': 68, 'hue': 32412, 'bri': 229, 'sat': 255}",low,Unmodified
163.32560090702947,7,"{'transitiontime': 1, 'hue': 120, 'bri': 210, 'sat': 255}",beat,Unmodified
163.75517006802721,12,"{'transitiontime': 1, 'hue': 83, 'bri': 1, 'sat': 159}",beat,Unmodified
164.18473922902493,8,"{'transitiontime': 1, 'hue': 82, 'bri': 179, 'sat': 148}",beat,Unmodified
164.22931785195937,"[7, 8, 10, 11, 12, 15]","{'transitiontime': 5, 'hue': 10763, 'bri': 192, 'sat': 255}",arc,Safe
164.84470246734398,"[7, 8, 10, 11, 12, 15]","{'transitiontime': 27, 'hue': 11234, 'bri': 192, 'sat': 255}",arc,Safe
166.33258503401359,8,"{'transitiontime': 1, 'hue': 92, 'bri': 6, 'sat': 133}",beat,Unmodified
167.20333333333332,8,"{'transitiontime': 1, 'hue': 87, 'bri': 0, 'sat': 155}",beat,Unmodified
167.60522496371553,"[7, 8, 10, 11, 12, 15]","{'transitiontime': 51, 'hue': 8747, 'bri': 201, 'sat': 255}",arc,Safe
168.48043083900225,8,"{'transitiontime': 1, 'hue': 113, 'bri': 205, 'sat': 138}",beat,Safe
169.32795918367347,8,"{'transitiontime': 1, 'hue': 97, 'bri': 186, 'sat': 163}",beat,Unmodified
169.75752834467119,14,"{'transitiontime': 1, 'hue': 92, 'bri': 1, 'sat': 217}",beat,Unmodified
170.18709750566893,15,"{'transitiontime': 1, 'hue': 110, 'bri': 199, 'sat': 225}",beat,Unmodified
